x,y,timestamp,encoder_1_deg,encoder_2_deg
409,402,353,59.50,62.93
409,402,365,59.50,62.93
409,402,380,59.50,62.93
409,402,398,59.50,63.02
410,402,414,59.50,63.02
410,402,431,59.50,63.02
412,403,447,59.50,63.02
413,405,465,59.50,63.02
414,406,482,59.50,63.02
416,410,500,59.41,63.02
417,411,514,59.41,63.02
417,415,534,59.41,63.02
417,417,550,59.41,63.02
417,421,567,59.41,63.02
416,425,583,59.41,63.02
415,428,601,59.50,63.19
414,430,615,59.50,63.19
410,434,633,59.50,63.19
406,438,650,59.50,63.19
404,441,665,59.50,63.19
400,444,681,59.50,63.19
395,446,697,59.50,63.19
391,446,713,59.50,63.19
388,446,729,59.50,63.19
384,446,746,59.50,63.19
380,446,763,59.50,63.19
376,444,780,59.50,63.19
371,442,796,59.59,63.11
367,438,813,59.59,63.11
362,435,829,59.59,63.11
358,432,846,59.59,63.11
354,429,863,59.59,63.11
350,423,879,59.59,63.11
347,419,896,59.59,63.11
344,415,913,59.50,63.19
341,410,928,59.50,63.19
339,405,946,59.50,63.19
338,398,963,59.50,63.19
338,386,980,59.50,63.19
338,377,996,59.50,63.19
340,370,1013,58.27,65.13
342,362,1030,58.27,65.13
345,353,1047,58.27,65.13
347,345,1065,58.27,65.13
350,337,1080,58.27,65.13
353,328,1097,58.27,65.13
355,320,1114,55.99,66.88
358,313,1131,55.99,66.88
362,305,1148,55.99,66.88
366,300,1162,55.99,66.88
370,294,1179,55.99,66.88
373,291,1196,55.99,66.88
378,285,1214,53.70,68.29
382,282,1230,53.70,68.29
390,275,1246,53.70,68.29
401,270,1263,53.70,68.29
410,268,1277,53.70,68.29
417,267,1295,53.70,68.29
425,267,1311,52.38,68.47
434,268,1326,52.38,68.47
442,270,1344,52.38,68.47
450,271,1361,52.38,68.47
458,273,1378,52.38,68.47
466,276,1395,52.38,68.47
469,278,1411,52.47,67.68
471,282,1427,52.47,67.68
478,286,1444,52.47,67.68
486,294,1460,52.47,67.68
494,306,1477,52.47,67.68
498,315,1492,52.47,67.68
503,322,1509,52.91,67.24
506,331,1525,52.91,67.24
510,341,1541,52.91,67.24
512,350,1557,52.91,67.24
514,355,1574,52.91,67.24
515,369,1591,52.91,67.24
516,379,1606,52.91,67.24
517,390,1624,55.11,63.37
517,401,1640,55.11,63.37
517,412,1657,55.11,63.37
516,421,1673,55.11,63.37
515,430,1688,55.11,63.37
514,441,1704,55.11,63.37
511,452,1721,58.10,62.49
506,467,1739,58.10,62.49
502,478,1755,58.10,62.49
496,489,1772,58.10,62.49
492,494,1786,58.10,62.49
482,509,1804,58.10,62.49
476,514,1819,60.82,61.44
467,523,1836,60.82,61.44
453,534,1854,60.82,61.44
442,542,1870,60.82,61.44
430,550,1887,60.82,61.44
417,556,1905,60.82,61.44
406,561,1921,62.58,61.52
394,565,1938,62.58,61.52
381,567,1953,62.58,61.52
368,569,1970,62.58,61.52
355,570,1986,62.58,61.52
342,569,2004,62.58,61.52
330,567,2021,63.11,61.79
318,565,2036,63.11,61.79
305,561,2053,63.11,61.79
297,558,2068,63.11,61.79
285,554,2084,63.11,61.79
274,548,2101,63.11,61.79
263,541,2118,63.02,63.19
254,534,2133,63.02,63.19
245,525,2150,63.02,63.19
236,516,2166,63.02,63.19
229,506,2182,63.02,63.19
222,494,2200,63.02,63.19
215,481,2217,61.79,64.78
209,466,2234,61.79,64.78
206,451,2250,61.79,64.78
202,435,2265,61.79,64.78
200,419,2283,61.79,64.78
198,404,2299,61.79,64.78
197,389,2316,61.79,64.78
197,379,2331,58.18,67.59
197,359,2350,58.18,67.59
198,344,2368,58.18,67.59
201,330,2384,58.18,67.59
203,320,2400,58.18,67.59
206,307,2417,58.18,67.59
210,294,2434,54.32,71.46
216,282,2450,54.32,71.46
222,270,2466,54.32,71.46
230,259,2482,54.32,71.46
238,249,2499,54.32,71.46
246,238,2516,54.32,71.46
256,228,2532,51.06,72.69
266,218,2549,51.06,72.69
277,209,2566,51.06,72.69
289,202,2582,51.06,72.69
301,195,2600,51.06,72.69
313,188,2616,51.06,72.69
326,183,2634,48.78,73.56
338,178,2651,48.78,73.56
352,176,2666,48.78,73.56
365,175,2683,48.78,73.56
378,174,2700,48.78,73.56
390,175,2716,48.78,73.56
403,177,2733,47.81,73.39
412,178,2748,47.81,73.39
430,180,2766,47.81,73.39
438,182,2781,47.81,73.39
452,184,2798,47.81,73.39
471,189,2816,47.81,73.39
486,194,2832,47.90,72.25
501,198,2849,47.90,72.25
514,205,2865,47.90,72.25
528,210,2882,47.90,72.25
536,216,2897,47.90,72.25
554,227,2916,47.90,72.25
562,232,2930,49.04,67.41
574,242,2947,49.04,67.41
589,255,2965,49.04,67.41
595,262,2980,49.04,67.41
605,274,2995,49.04,67.41
616,290,3014,49.04,67.41
621,299,3028,49.04,67.41
628,314,3045,51.86,63.81
634,327,3060,51.86,63.81
638,344,3076,51.86,63.81
640,360,3092,51.86,63.81
642,377,3109,51.86,63.81
642,394,3125,51.86,63.81
643,410,3142,55.81,60.21
643,429,3157,55.81,60.21
642,446,3174,55.81,60.21
641,463,3189,55.81,60.21
638,482,3206,55.81,60.21
633,498,3222,55.81,60.21
626,516,3239,60.73,57.39
619,534,3256,60.73,57.39
610,550,3274,60.73,57.39
600,567,3289,60.73,57.39
589,582,3306,60.73,57.39
577,597,3323,60.73,57.39
562,610,3340,64.86,55.46
542,627,3358,64.86,55.46
525,638,3374,64.86,55.46
506,647,3391,64.86,55.46
487,654,3407,64.86,55.46
466,661,3424,64.86,55.46
444,667,3442,67.41,55.63
421,674,3457,67.41,55.63
399,678,3474,67.41,55.63
377,681,3489,67.41,55.63
362,682,3505,67.41,55.63
339,684,3521,67.41,55.63
310,686,3539,67.76,57.30
295,685,3554,67.76,57.30
274,682,3571,67.76,57.30
254,678,3587,67.76,57.30
233,672,3604,67.76,57.30
214,664,3621,67.76,57.30
196,656,3637,67.68,58.71
178,645,3654,67.68,58.71
161,633,3670,67.68,58.71
146,618,3686,67.68,58.71
132,602,3704,67.68,58.71
120,585,3720,67.68,58.71
109,565,3737,65.13,64.86
99,543,3754,65.13,64.86
94,527,3769,65.13,64.86
87,504,3785,65.13,64.86
82,479,3802,65.13,64.86
77,454,3818,65.13,64.86
74,430,3836,65.13,64.86
74,406,3852,59.77,70.05
74,382,3869,59.77,70.05
74,359,3885,59.77,70.05
77,337,3902,59.77,70.05
81,315,3919,59.77,70.05
86,294,3936,59.77,70.05
93,274,3952,54.05,76.03
100,254,3969,54.05,76.03
105,242,3984,54.05,76.03
116,223,4002,54.05,76.03
126,206,4018,54.05,76.03
143,184,4037,54.05,76.03
152,173,4051,49.04,78.84
166,157,4068,49.04,78.84
181,143,4084,49.04,78.84
195,130,4100,49.04,78.84
210,116,4118,49.04,78.84
228,105,4135,49.04,78.84
245,94,4151,45.35,79.89
257,88,4167,45.35,79.89
282,77,4185,45.35,79.89
302,68,4201,45.35,79.89
314,64,4216,45.35,79.89
334,58,4233,45.35,79.89
362,50,4251,43.15,79.72
383,46,4267,43.15,79.72
397,45,4283,43.15,79.72
417,43,4299,43.15,79.72
440,43,4316,43.15,79.72
461,45,4332,43.15,79.72
482,48,4348,42.36,79.28
502,52,4366,42.36,79.28
523,57,4383,42.36,79.28
542,63,4399,42.36,79.28
562,71,4415,42.36,79.28
581,81,4432,42.36,79.28
598,90,4448,42.36,79.28
615,103,4465,42.80,75.85
632,116,4481,42.80,75.85
646,130,4498,42.80,75.85
660,146,4513,42.80,75.85
673,162,4531,42.80,75.85
686,178,4545,42.80,75.85
698,194,4563,46.05,70.93
710,209,4580,46.05,70.93
721,227,4597,46.05,70.93
732,254,4615,46.05,70.93
740,273,4632,46.05,70.93
748,294,4647,46.05,70.93
754,314,4665,51.33,63.98
758,335,4681,51.33,63.98
762,355,4697,51.33,63.98
765,377,4712,51.33,63.98
766,400,4729,51.33,63.98
765,423,4745,51.33,63.98
762,446,4762,57.30,56.87
760,471,4779,57.30,56.87
757,494,4796,57.30,56.87
751,518,4812,57.30,56.87
746,542,4830,57.30,56.87
738,565,4846,57.30,56.87
727,595,4865,63.90,53.96
718,618,4882,63.90,53.96
707,638,4896,63.90,53.96
695,658,4913,63.90,53.96
682,678,4931,63.90,53.96
669,695,4946,63.90,53.96
656,710,4964,69.43,51.94
643,722,4978,69.43,51.94
